file,marker,binary_start,score,tile_w,tile_h
stage_0.n5s,0xfffe,96,5.6,282,256
stage_1.n5s,0xfffe,96,5.6,281,256
stage_10.n5s,0xfffe,96,5.6,279,256
stage_12.n5s,0xffff,126,2.0,255,65280
stage_15.n5s,0xfffe,106,5.6,283,256
stage_16.n5s,0xfffe,96,5.6,277,256
stage_17.n5s,0xfffe,96,5.6,281,256
stage_19.n5s,0xfffe,96,5.6,286,256
stage_20.n5s,0xfffe,96,5.6,284,256
stage_22.n5s,0xfffe,96,5.6,281,256
stage_23.n5s,0xfffe,96,5.6,281,256
stage_25.n5s,0xfffe,96,5.6,279,256
stage_26.n5s,0xffff,104,4.4,205,285
stage_26_s.n5s,0xffff,104,4.4,205,287
stage_28.n5s,0xffff,126,2.0,255,65280
stage_3.n5s,0xfffe,96,5.6,286,256
stage_4.n5s,0xfffe,96,5.6,284,256
stage_6.n5s,0xfffe,96,5.6,281,256
stage_7.n5s,0xfffe,96,5.6,277,256
stage_9.n5s,0xffff,104,4.4,205,285
stage_9_s.n5s,0xffff,104,4.4,205,287